id,user_id,title,description,slug,active,questions,image,premium,type,prompt,custom_template,tone_of_voice,color,filters,package,created_at,updated_at
11,NULL,"Blog Conclusion","End your blog posts on a high note. Craft memorable conclusions that leave a lasting impact.",blog_conclusion,1,"[{""name"":""title"",""type"":""text"",""question"":""Title of the blog text"",""select"":""""},{""name"":""description"",""type"":""textarea"",""question"":""Description"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""M80 236v-60h800v60H80Zm210 250V386h380v100H290Zm0 240V626h380v100H290Z""/></svg>",0,text,NULL,0,0,#A3D6C2,blog,NULL,2025-09-26T14:23:10.000000Z,2025-09-26T14:23:10.000000Z
12,NULL,"Facebook Ads","Create high-converting Facebook ads that grab attention. Drive sales and grow your business.",facebook_ads,1,"[{""name"":""title"",""type"":""text"",""question"":""Title"",""select"":""""},{""name"":""description"",""type"":""textarea"",""question"":""Description"",""select"":""""}]","<svg width=""9"" height=""16"" viewBox=""0 0 9 16"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M5.66016 15.2383H2.88281V8.41797H0.5625V5.74609H2.88281V3.77734C2.88281 2.65234 3.19922 1.78516 3.83203 1.17578C4.46484 0.566406 5.30859 0.261719 6.36328 0.261719C7.20703 0.261719 7.89844 0.296875 8.4375 0.367188V2.72266L6.99609 2.75781C6.48047 2.75781 6.12891 2.86328 5.94141 3.07422C5.75391 3.28516 5.66016 3.60156 5.66016 4.02344V5.74609H8.33203L7.98047 8.41797H5.66016V15.2383Z"" fill=""#23344D""/>
</svg>",0,text,NULL,0,0,#E8CEC3,advertisement,NULL,2025-09-26T14:23:10.000000Z,2025-09-26T14:23:10.000000Z
13,NULL,"Youtube Video Description","Elevate your YouTube content with compelling video descriptions. Generate engaging descriptions effortlessly and increase views.",youtube_video_description,1,"[{""name"":""title"",""type"":""text"",""question"":""Title"",""select"":""""}]","<svg width=""17"" height=""11"" viewBox=""0 0 17 11"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M15.8301 2.76172C15.9473 3.58203 16.0059 4.39062 16.0059 5.1875V6.3125L15.8301 8.73828C15.7363 9.41797 15.5371 9.91016 15.2324 10.2148C14.9043 10.543 14.4121 10.7539 13.7559 10.8477C13.123 10.8945 12.3613 10.9297 11.4707 10.9531C10.6035 10.9766 9.88867 10.9883 9.32617 10.9883H8.48242C5.88086 10.9648 4.18164 10.918 3.38477 10.8477C3.38477 10.8477 3.29102 10.8359 3.10352 10.8125C2.91602 10.7891 2.76367 10.7656 2.64648 10.7422C2.5293 10.7188 2.37695 10.6602 2.18945 10.5664C2.02539 10.4727 1.87305 10.3555 1.73242 10.2148C1.61523 10.0742 1.49805 9.88672 1.38086 9.65234C1.28711 9.39453 1.22852 9.17188 1.20508 8.98438L1.13477 8.73828C1.04102 7.91797 0.994141 7.10938 0.994141 6.3125V5.1875L1.13477 2.76172C1.22852 2.08203 1.42773 1.58984 1.73242 1.28516C2.06055 0.933594 2.56445 0.722656 3.24414 0.652344C3.87695 0.605469 4.62695 0.570313 5.49414 0.546875C6.36133 0.523437 7.07617 0.511719 7.63867 0.511719H8.48242C10.5918 0.511719 12.3496 0.558594 13.7559 0.652344C14.4121 0.722656 14.9043 0.933594 15.2324 1.28516C15.3262 1.37891 15.4082 1.49609 15.4785 1.63672C15.5488 1.75391 15.6074 1.88281 15.6543 2.02344C15.7012 2.14062 15.7363 2.25781 15.7598 2.375C15.7832 2.49219 15.8066 2.58594 15.8301 2.65625V2.76172ZM10.5215 5.85547L11.0137 5.60938L6.9707 3.5V7.71875L10.5215 5.85547Z"" fill=""#23344D""/>
</svg>",0,text,NULL,0,0,#E4CD9F,"social media",NULL,2025-09-26T14:23:11.000000Z,2025-09-26T14:23:11.000000Z
14,NULL,"Youtube Video Title","Get more views with attention-grabbing video titles. Create unique, catchy titles that entice viewers.",youtube_video_title,1,"[{""name"":""description"",""type"":""textarea"",""question"":""Description"",""select"":""""}]","<svg width=""17"" height=""11"" viewBox=""0 0 17 11"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M15.8301 2.76172C15.9473 3.58203 16.0059 4.39062 16.0059 5.1875V6.3125L15.8301 8.73828C15.7363 9.41797 15.5371 9.91016 15.2324 10.2148C14.9043 10.543 14.4121 10.7539 13.7559 10.8477C13.123 10.8945 12.3613 10.9297 11.4707 10.9531C10.6035 10.9766 9.88867 10.9883 9.32617 10.9883H8.48242C5.88086 10.9648 4.18164 10.918 3.38477 10.8477C3.38477 10.8477 3.29102 10.8359 3.10352 10.8125C2.91602 10.7891 2.76367 10.7656 2.64648 10.7422C2.5293 10.7188 2.37695 10.6602 2.18945 10.5664C2.02539 10.4727 1.87305 10.3555 1.73242 10.2148C1.61523 10.0742 1.49805 9.88672 1.38086 9.65234C1.28711 9.39453 1.22852 9.17188 1.20508 8.98438L1.13477 8.73828C1.04102 7.91797 0.994141 7.10938 0.994141 6.3125V5.1875L1.13477 2.76172C1.22852 2.08203 1.42773 1.58984 1.73242 1.28516C2.06055 0.933594 2.56445 0.722656 3.24414 0.652344C3.87695 0.605469 4.62695 0.570313 5.49414 0.546875C6.36133 0.523437 7.07617 0.511719 7.63867 0.511719H8.48242C10.5918 0.511719 12.3496 0.558594 13.7559 0.652344C14.4121 0.722656 14.9043 0.933594 15.2324 1.28516C15.3262 1.37891 15.4082 1.49609 15.4785 1.63672C15.5488 1.75391 15.6074 1.88281 15.6543 2.02344C15.7012 2.14062 15.7363 2.25781 15.7598 2.375C15.7832 2.49219 15.8066 2.58594 15.8301 2.65625V2.76172ZM10.5215 5.85547L11.0137 5.60938L6.9707 3.5V7.71875L10.5215 5.85547Z"" fill=""#23344D""/>
</svg>",0,text,NULL,0,0,#E4CD9F,"social media",NULL,2025-09-26T14:23:11.000000Z,2025-09-26T14:23:11.000000Z
15,NULL,"Youtube Video Tag","Improve your YouTube video's discoverability with relevant video tags. Boost views and engagement.",youtube_video_tag,1,"[{""name"":""title"",""type"":""textarea"",""question"":""Title"",""select"":""""}]","<svg width=""17"" height=""11"" viewBox=""0 0 17 11"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M15.8301 2.76172C15.9473 3.58203 16.0059 4.39062 16.0059 5.1875V6.3125L15.8301 8.73828C15.7363 9.41797 15.5371 9.91016 15.2324 10.2148C14.9043 10.543 14.4121 10.7539 13.7559 10.8477C13.123 10.8945 12.3613 10.9297 11.4707 10.9531C10.6035 10.9766 9.88867 10.9883 9.32617 10.9883H8.48242C5.88086 10.9648 4.18164 10.918 3.38477 10.8477C3.38477 10.8477 3.29102 10.8359 3.10352 10.8125C2.91602 10.7891 2.76367 10.7656 2.64648 10.7422C2.5293 10.7188 2.37695 10.6602 2.18945 10.5664C2.02539 10.4727 1.87305 10.3555 1.73242 10.2148C1.61523 10.0742 1.49805 9.88672 1.38086 9.65234C1.28711 9.39453 1.22852 9.17188 1.20508 8.98438L1.13477 8.73828C1.04102 7.91797 0.994141 7.10938 0.994141 6.3125V5.1875L1.13477 2.76172C1.22852 2.08203 1.42773 1.58984 1.73242 1.28516C2.06055 0.933594 2.56445 0.722656 3.24414 0.652344C3.87695 0.605469 4.62695 0.570313 5.49414 0.546875C6.36133 0.523437 7.07617 0.511719 7.63867 0.511719H8.48242C10.5918 0.511719 12.3496 0.558594 13.7559 0.652344C14.4121 0.722656 14.9043 0.933594 15.2324 1.28516C15.3262 1.37891 15.4082 1.49609 15.4785 1.63672C15.5488 1.75391 15.6074 1.88281 15.6543 2.02344C15.7012 2.14062 15.7363 2.25781 15.7598 2.375C15.7832 2.49219 15.8066 2.58594 15.8301 2.65625V2.76172ZM10.5215 5.85547L11.0137 5.60938L6.9707 3.5V7.71875L10.5215 5.85547Z"" fill=""#23344D""/>
</svg>",0,text,NULL,0,0,#E4CD9F,"social media",NULL,2025-09-26T14:23:12.000000Z,2025-09-26T14:23:12.000000Z
16,NULL,"Instagram Captions","Elevate your Instagram game with captivating captions. Generate unique captions that engage followers and increase your reach.",instagram_captions,1,"[{""name"":""title"",""type"":""textarea"",""question"":""Title"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" data-name=""Layer 1"" viewBox=""0 0 24 24"" id=""instagram""><path d=""M17.34,5.46h0a1.2,1.2,0,1,0,1.2,1.2A1.2,1.2,0,0,0,17.34,5.46Zm4.6,2.42a7.59,7.59,0,0,0-.46-2.43,4.94,4.94,0,0,0-1.16-1.77,4.7,4.7,0,0,0-1.77-1.15,7.3,7.3,0,0,0-2.43-.47C15.06,2,14.72,2,12,2s-3.06,0-4.12.06a7.3,7.3,0,0,0-2.43.47A4.78,4.78,0,0,0,3.68,3.68,4.7,4.7,0,0,0,2.53,5.45a7.3,7.3,0,0,0-.47,2.43C2,8.94,2,9.28,2,12s0,3.06.06,4.12a7.3,7.3,0,0,0,.47,2.43,4.7,4.7,0,0,0,1.15,1.77,4.78,4.78,0,0,0,1.77,1.15,7.3,7.3,0,0,0,2.43.47C8.94,22,9.28,22,12,22s3.06,0,4.12-.06a7.3,7.3,0,0,0,2.43-.47,4.7,4.7,0,0,0,1.77-1.15,4.85,4.85,0,0,0,1.16-1.77,7.59,7.59,0,0,0,.46-2.43c0-1.06.06-1.4.06-4.12S22,8.94,21.94,7.88ZM20.14,16a5.61,5.61,0,0,1-.34,1.86,3.06,3.06,0,0,1-.75,1.15,3.19,3.19,0,0,1-1.15.75,5.61,5.61,0,0,1-1.86.34c-1,.05-1.37.06-4,.06s-3,0-4-.06A5.73,5.73,0,0,1,6.1,19.8,3.27,3.27,0,0,1,5,19.05a3,3,0,0,1-.74-1.15A5.54,5.54,0,0,1,3.86,16c0-1-.06-1.37-.06-4s0-3,.06-4A5.54,5.54,0,0,1,4.21,6.1,3,3,0,0,1,5,5,3.14,3.14,0,0,1,6.1,4.2,5.73,5.73,0,0,1,8,3.86c1,0,1.37-.06,4-.06s3,0,4,.06a5.61,5.61,0,0,1,1.86.34A3.06,3.06,0,0,1,19.05,5,3.06,3.06,0,0,1,19.8,6.1,5.61,5.61,0,0,1,20.14,8c.05,1,.06,1.37.06,4S20.19,15,20.14,16ZM12,6.87A5.13,5.13,0,1,0,17.14,12,5.12,5.12,0,0,0,12,6.87Zm0,8.46A3.33,3.33,0,1,1,15.33,12,3.33,3.33,0,0,1,12,15.33Z""></path></svg>",0,text,NULL,0,0,#E49FE1,"social media",NULL,2025-09-26T14:23:12.000000Z,2025-09-26T14:23:12.000000Z
32,NULL,"AI Image Generator","Create stunning images in seconds.",ai_image_generator,1,"[{""name"":""description"",""type"":""textarea"",""question"":""Describe the Image"",""select"":""""},{""name"":""size"",""type"":""select"",""question"":""Image Resolution"",""select"":""<option value='256x256'>256x256</option><option value='512x512'>512x512</option><option value='1024x1024'>1024x1024</option>""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""M180 936q-24 0-42-18t-18-42V276q0-24 18-42t42-18h600q24 0 42 18t18 42v600q0 24-18 42t-42 18H180Zm56-157h489L578 583 446 754l-93-127-117 152Z""/></svg>",0,image,NULL,0,0,#D1C5DE,development,NULL,2025-09-26T14:23:19.000000Z,2025-09-26T14:23:19.000000Z
17,NULL,"Instagram Hashtags","Boost your Instagram reach with relevant hashtags. Generate optimal, trending hashtags and increase your visibility.",instagram_hashtag,1,"[{""name"":""keywords"",""type"":""textarea"",""question"":""Keywords (Separate with comma.)"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" data-name=""Layer 1"" viewBox=""0 0 24 24"" id=""instagram""><path d=""M17.34,5.46h0a1.2,1.2,0,1,0,1.2,1.2A1.2,1.2,0,0,0,17.34,5.46Zm4.6,2.42a7.59,7.59,0,0,0-.46-2.43,4.94,4.94,0,0,0-1.16-1.77,4.7,4.7,0,0,0-1.77-1.15,7.3,7.3,0,0,0-2.43-.47C15.06,2,14.72,2,12,2s-3.06,0-4.12.06a7.3,7.3,0,0,0-2.43.47A4.78,4.78,0,0,0,3.68,3.68,4.7,4.7,0,0,0,2.53,5.45a7.3,7.3,0,0,0-.47,2.43C2,8.94,2,9.28,2,12s0,3.06.06,4.12a7.3,7.3,0,0,0,.47,2.43,4.7,4.7,0,0,0,1.15,1.77,4.78,4.78,0,0,0,1.77,1.15,7.3,7.3,0,0,0,2.43.47C8.94,22,9.28,22,12,22s3.06,0,4.12-.06a7.3,7.3,0,0,0,2.43-.47,4.7,4.7,0,0,0,1.77-1.15,4.85,4.85,0,0,0,1.16-1.77,7.59,7.59,0,0,0,.46-2.43c0-1.06.06-1.4.06-4.12S22,8.94,21.94,7.88ZM20.14,16a5.61,5.61,0,0,1-.34,1.86,3.06,3.06,0,0,1-.75,1.15,3.19,3.19,0,0,1-1.15.75,5.61,5.61,0,0,1-1.86.34c-1,.05-1.37.06-4,.06s-3,0-4-.06A5.73,5.73,0,0,1,6.1,19.8,3.27,3.27,0,0,1,5,19.05a3,3,0,0,1-.74-1.15A5.54,5.54,0,0,1,3.86,16c0-1-.06-1.37-.06-4s0-3,.06-4A5.54,5.54,0,0,1,4.21,6.1,3,3,0,0,1,5,5,3.14,3.14,0,0,1,6.1,4.2,5.73,5.73,0,0,1,8,3.86c1,0,1.37-.06,4-.06s3,0,4,.06a5.61,5.61,0,0,1,1.86.34A3.06,3.06,0,0,1,19.05,5,3.06,3.06,0,0,1,19.8,6.1,5.61,5.61,0,0,1,20.14,8c.05,1,.06,1.37.06,4S20.19,15,20.14,16ZM12,6.87A5.13,5.13,0,1,0,17.14,12,5.12,5.12,0,0,0,12,6.87Zm0,8.46A3.33,3.33,0,1,1,15.33,12,3.33,3.33,0,0,1,12,15.33Z""></path></svg>",0,text,NULL,0,0,#E49FE1,"social media",NULL,2025-09-26T14:23:13.000000Z,2025-09-26T14:23:13.000000Z
18,NULL,"Social Media Post Tweet","Make an impact with every tweet. Generate attention-grabbing social media posts and increase engagement.",social_media_post_tweet,1,"[{""name"":""title"",""type"":""textarea"",""question"":""Title"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" data-name=""Layer 1"" viewBox=""0 0 24 24"" id=""twitter""><path d=""M22,5.8a8.49,8.49,0,0,1-2.36.64,4.13,4.13,0,0,0,1.81-2.27,8.21,8.21,0,0,1-2.61,1,4.1,4.1,0,0,0-7,3.74A11.64,11.64,0,0,1,3.39,4.62a4.16,4.16,0,0,0-.55,2.07A4.09,4.09,0,0,0,4.66,10.1,4.05,4.05,0,0,1,2.8,9.59v.05a4.1,4.1,0,0,0,3.3,4A3.93,3.93,0,0,1,5,13.81a4.9,4.9,0,0,1-.77-.07,4.11,4.11,0,0,0,3.83,2.84A8.22,8.22,0,0,1,3,18.34a7.93,7.93,0,0,1-1-.06,11.57,11.57,0,0,0,6.29,1.85A11.59,11.59,0,0,0,20,8.45c0-.17,0-.35,0-.53A8.43,8.43,0,0,0,22,5.8Z""></path></svg>",0,text,NULL,0,0,#C2DEDE,"social media",NULL,2025-09-26T14:23:13.000000Z,2025-09-26T14:23:13.000000Z
19,NULL,"Social Media Post Business","Generate a text for your business social media networks. Maximize your social media presence with impactful business posts.",social_media_post_business,1,"[{""name"":""company_name"",""type"":""text"",""question"":""Company Name"",""select"":""""},{""name"":""description"",""type"":""textarea"",""question"":""Company Description"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""M180 936q-24 0-42-18t-18-42V276q0-24 18-42t42-18h600q24 0 42 18t18 42v600q0 24-18 42t-42 18H180Zm100-160h200v-80H280v80Zm40-171 160-80 160 80V276H320v329Z""/></svg>",0,text,NULL,0,0,#E3E49F,"social media",NULL,2025-09-26T14:23:13.000000Z,2025-09-26T14:23:13.000000Z
20,NULL,"Facebook Headlines","Get noticed with attention-grabbing Facebook headlines. Generate unique, clickable headlines that increase engagement and drive traffic.",facebook_headlines,1,"[{""name"":""title"",""type"":""text"",""question"":""Title"",""select"":""""},{""name"":""description"",""type"":""textarea"",""question"":""Description"",""select"":""""}]","<svg width=""9"" height=""16"" viewBox=""0 0 9 16"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M5.66016 15.2383H2.88281V8.41797H0.5625V5.74609H2.88281V3.77734C2.88281 2.65234 3.19922 1.78516 3.83203 1.17578C4.46484 0.566406 5.30859 0.261719 6.36328 0.261719C7.20703 0.261719 7.89844 0.296875 8.4375 0.367188V2.72266L6.99609 2.75781C6.48047 2.75781 6.12891 2.86328 5.94141 3.07422C5.75391 3.28516 5.66016 3.60156 5.66016 4.02344V5.74609H8.33203L7.98047 8.41797H5.66016V15.2383Z"" fill=""#23344D""/>
</svg>",0,text,NULL,0,0,#E8CEC3,"social media",NULL,2025-09-26T14:23:14.000000Z,2025-09-26T14:23:14.000000Z
21,NULL,"Google Ads Headlines","Create high-converting Google ads with captivating headlines. Generate unique, clickable ads that drive traffic and boost sales.",google_ads_headlines,1,"[{""name"":""product_name"",""type"":""text"",""question"":""Product Name"",""select"":""""},{""name"":""description"",""type"":""textarea"",""question"":""Description"",""select"":""""},{""name"":""audience"",""type"":""select"",""question"":""Audience"",""select"":""\n        <option value='everyone'> Everyone </option>\n        <option value='man'> Man </option>\n        <option value='woman'> Woman </option>\n        <option value='children'> Children </option>\n        <option value='teenager'> Teenager </option>\n        ""}]","<svg xmlns=""http://www.w3.org/2000/svg"" width=""32"" height=""32"" enable-background=""new 0 0 32 32"" viewBox=""0 0 32 32"" id=""adwords""><path fill=""#263238"" d=""M2.066 23.314c-.082 0-.166-.021-.242-.063-.242-.135-.329-.438-.194-.681L9.278 8.803c.134-.24.439-.326.68-.194.242.135.329.438.194.681L2.503 23.058C2.412 23.222 2.242 23.314 2.066 23.314zM9.933 27.686c-.082 0-.166-.021-.242-.063-.242-.135-.329-.438-.194-.681l4.796-8.634c.133-.24.438-.326.68-.194.242.135.329.438.194.681l-4.796 8.634C10.279 27.593 10.109 27.686 9.933 27.686z""></path><path fill=""#263238"" d=""M15.709,15.761L9.497,26.942c-0.705,1.27-2.046,2.059-3.5,2.059c-0.674,0-1.345-0.175-1.939-0.505 c-1.928-1.07-2.625-3.511-1.554-5.438l7.578-13.639c0.134-0.241,0.047-0.546-0.194-0.681c-0.24-0.133-0.545-0.046-0.68,0.194 L1.629,22.571c-1.339,2.41-0.468,5.46,1.942,6.8c0.742,0.412,1.58,0.63,2.424,0.63c1.817,0,3.493-0.985,4.375-2.572 l5.921-10.658L15.709,15.761z""></path><path fill=""#263238"" d=""M6 30c-2.757 0-5-2.243-5-5s2.243-5 5-5 5 2.243 5 5S8.757 30 6 30zM6 21c-2.206 0-4 1.794-4 4s1.794 4 4 4 4-1.794 4-4S8.206 21 6 21zM26.004 30.001c-1.817 0-3.493-.985-4.375-2.572l-10-18c-1.339-2.41-.468-5.46 1.942-6.8.742-.412 1.581-.631 2.425-.631 1.816 0 3.492.986 4.374 2.573l10 18c1.339 2.41.468 5.46-1.942 6.8C27.687 29.783 26.848 30.001 26.004 30.001zM15.997 2.998c-.675 0-1.345.175-1.94.506-1.928 1.07-2.625 3.511-1.554 5.438l10 18c.705 1.27 2.046 2.059 3.5 2.059.674 0 1.345-.175 1.939-.505 1.928-1.07 2.625-3.511 1.554-5.438l-10-18C18.792 3.787 17.451 2.998 15.997 2.998z""></path></svg>",0,text,NULL,0,0,#D6C0A3,advertisement,NULL,2025-09-26T14:23:14.000000Z,2025-09-26T14:23:14.000000Z
